Archetyp,Variante,GWP pro Gebäude,Bestand GWP,Veränderungen zu Bestand in %,Veränderungen zu Bestand in kg CO<sub>2</sub>-Äqv./m<sup>2</sup><sub>NGF</sub>a
A,Außenwandsanierung,16.501,17.038,-3.152,-0.537
A,Dachsanierung,16.934,17.038,-0.61,-0.104
A,Fenstersanierung,16.503,17.038,-3.14,-0.535
A,Komplettsanierung,15.77,17.038,-7.442,-1.268
B,Außenwandsanierung,17.626,18.164,-2.962,-0.538
B,Dachsanierung,17.605,18.164,-3.078,-0.559
B,Fenstersanierung,17.57,18.164,-3.27,-0.594
B,Komplettsanierung,16.381,18.164,-9.816,-1.783
C,Außenwandsanierung,17.712,16.961,4.428,0.751
C,Dachsanierung,16.864,16.961,-0.572,-0.097
C,Fenstersanierung,16.47,16.961,-2.895,-0.491
C,Komplettsanierung,17.031,16.961,0.413,0.07
D,Außenwandsanierung,17.955,17.173,4.554,0.782
D,Dachsanierung,16.688,17.173,-2.824,-0.485
D,Fenstersanierung,16.748,17.173,-2.475,-0.425
D,Komplettsanierung,16.954,17.173,-1.275,-0.219
